question_id,question_intent,gold_chunk_id,gold_doc_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_rank
20,definition,20,1,19|22|36|3|15|5|10|9|1|8|21|37|13|40|31|24|17|4|14|35|23|7|29|20|32|12|11|0|27|39|38|41|34|26|18|28|30|2|6|25|16|33,24,FALSE,20|14|19|41|39|1|7|3|2|4|21|30|23|5|16|18|10|8|28|32|15|26|6|12|13|0|9|29|34|37|25,1,TRUE,19|3|5|10|1|8|21|4|14|23|7|20|32|39|41|18|28|30|2|16|22|36|15|9|37|13|40|31|24|17|35,12,FALSE,12
21,definition,21,1,5|19|3|36|22|40|15|9|31|10|13|8|37|1|21|24|17|4|23|7|12|0|14|20|35|29|27|32|38|34|41|39|33|26|30|28|18|2|6|11|25|16,15,FALSE,21|14|28|40|38|9|5|36|23|29|33|12|7|8|13|27|18|20|37|1|11|17|34|25|4|41|15|26|19|16|35|22|39|32|0|2|31,1,TRUE,5|36|40|9|13|8|37|1|21|23|7|12|14|20|29|27|38|33|28|18|19|3|22|15|31|10|24|17|4,9,FALSE,6
22,rhetorical / summary,22,1,19|15|22|5|40|3|31|1|10|8|9|36|13|24|21|37|17|4|14|12|0|23|29|35|7|20|39|32|38|27|41|34|33|28|26|2|18|30|6|11|25|16,3,TRUE,14|21|28|39|40|17|15|29|12|7|8|32|13|9|23|33|18|20|27|6|2|1|35|34|30|38|36|26|19|16|0|37|5|4|11|31|25,,FALSE,15|40|8|9|13|21|17|14|12|23|29|7|20|39|32|27|33|28|18|6|19|22|5|3|31|1|10|36|24|37|4,22,FALSE,-19
23,definition,23,2,3|22|15|5|10|9|36|19|8|40|1|21|31|37|13|17|24|4|27|12|23|35|0|14|20|39|29|32|38|41|34|7|11|33|26|18|28|30|2|6|25|16,21,FALSE,23|14|18|2|21|28|20|26|16|27|7|12|30|15|3|1|6|22|29|5|32|39|40|17|19|0|11|35|31|37,1,TRUE,3|22|15|5|1|21|27|12|23|14|20|29|7|26|18|28|30|2|6|16|10|9|36|19|8|40|31|37|13|17|24|4,9,FALSE,12
24,numeric / factual,24,2,15|19|22|5|3|10|9|36|1|13|21|31|40|8|24|37|17|4|12|35|14|7|0|32|20|39|29|27|38|41|23|11|34|33|28|26|18|30|2|6|25|16,15,FALSE,23|28|14|26|16|20|21|27|17|15|18|40|9|29|39|38|37|30|25|32|5|34|12|2|36|11|35|22|31|19|24|0|7|33|8|13|1|4,31,FALSE,15|9|21|40|37|17|14|32|20|39|29|27|38|23|28|26|18|30|25|16|19|22|5|3|10|36|1|13|31|8|24|4|12|35,31,FALSE,-16
25,numeric / factual,25,2,3|22|19|5|36|10|15|13|31|21|9|40|1|8|24|37|17|23|7|32|14|35|29|20|0|4|38|34|27|12|33|39|26|28|18|2|30|6|41|11|25|16,41,FALSE,18|14|28|26|17|23|20|16|15|11|27|25|21|8|1|5|32|22|19|9|35|36|30|31,12,FALSE,22|19|5|15|21|9|1|8|17|23|32|14|20|27|26|28|18|11|25|16|3|36|10|13|31|40|24|37|7,19,FALSE,22
26,mechanistic,26,2,3|36|5|10|15|22|19|9|31|13|1|40|37|21|8|24|17|4|39|12|14|7|27|11|29|35|20|32|33|41|23|0|38|26|18|30|28|2|6|34|25|16,34,FALSE,25|26|23|18|5|2|27|14|28|17|22|7|21|20|40|39|4|12|6|11|33|32|36|35|16|15|0|29|1|30|41|19|38|8|37|13|3|9|31|34,2,TRUE,5|22|40|21|17|4|39|12|14|7|27|11|20|23|26|18|28|2|6|25|3|36|10|15|19|9|31|13|1|37|8|24,15,FALSE,19
27,rationale,27,2,36|22|3|15|10|5|1|9|37|19|13|21|40|8|31|17|24|32|27|39|23|12|29|7|14|4|20|11|33|41|35|0|38|30|18|26|28|2|6|25|34|16,19,FALSE,27|26|28|21|17|18|20|29|25|0|35|32|7|23|2|15|19|9|40|14|16|12|36|8|39|13|33|11|1|34|30|3|38|37|5|4|31,1,TRUE,15|9|19|21|40|17|32|27|23|29|7|14|20|35|0|18|26|28|2|25|36|22|3|10|5|1|37|13|8|31|24|39,8,FALSE,11
28,rhetorical / summary,28,2,22|36|19|3|15|5|10|1|37|40|21|13|9|31|8|17|24|4|7|23|32|0|35|14|29|11|12|20|27|39|41|38|34|33|26|30|28|18|2|6|25|16,37,FALSE,28|14|21|27|12|15|40|23|6|2|18|7|39|29|20|19|0|26|38|37|16|30|32|5|9|17|36|11|3|35|22|31|33|8|13|1|4|34|25,1,TRUE,19|15|37|40|21|7|23|0|14|29|12|20|27|39|38|26|28|18|2|6|22|36|3|5|10|1|13|9|31|8|17|24|4,17,FALSE,20
29,definition,29,3,3|5|19|22|10|36|15|1|9|8|21|31|13|40|17|37|24|39|4|35|0|29|7|12|11|20|23|27|38|32|34|41|14|33|28|26|18|30|2|6|25|16,22,FALSE,29|14|40|41|32|35|1|2|0|12|37|27|9|39|7|21|5|38|8|34|36|30|13|3|31|33|28|25|17|10|4|24|11|18|16|23,1,TRUE,5|1|9|8|21|40|37|39|35|0|29|7|12|27|38|32|34|41|14|2|3|19|22|10|36|15|31|13|17|24|4,11,FALSE,11
30,factual,30,3,36|15|5|3|22|19|31|10|9|40|1|13|37|21|8|17|24|27|32|33|23|14|35|0|4|12|20|29|39|41|38|11|7|26|18|2|30|28|6|34|25|16,37,FALSE,30|31|11|39|32|2|1|10|14|9|33|34|7|8|16|28|3|6|23|38|5|12|20|35|40|13|22|27|18|26|17|4|19|15|41|0|29|37|25|36,1,TRUE,3|31|10|9|1|8|32|33|23|14|39|38|11|7|2|30|28|6|34|16|36|15|5|22|19|40|13|37|21|17|24|27,16,FALSE,21
31,mechanistic,31,3,5|19|15|3|22|10|36|9|1|8|40|31|24|21|37|13|17|23|27|7|12|14|20|32|35|4|39|41|38|34|33|11|0|29|26|28|18|30|2|6|25|16,12,FALSE,12|9|8|31|1|7|39|2|30|36|32|3|10|40|0|13|29|14|6|5|34|33|19|16|41|20|11|38|37|35|21|25|28|17|15|4|24|27|18|23,4,TRUE,5|3|10|36|9|1|8|40|31|13|7|12|14|32|39|0|29|30|2|6|19|15|22|24|21|37|17|23|27,9,FALSE,3
32,procedural,32,3,15|36|3|5|1|22|10|19|13|9|40|31|21|8|37|24|17|4|32|12|23|35|20|41|14|0|11|27|39|33|38|7|29|34|26|18|28|30|2|6|25|16,19,FALSE,32|31|39|19|12|20|2|1|30|3|6|5|14|34|38|13|8|35|16|28|4|41|33|10|7|23|0|9|29|37|25|40|36,1,TRUE,3|5|1|19|13|31|8|32|12|35|20|14|39|38|34|28|30|2|6|16|15|36|22|10|9|40|21|37|24|17|4,8,FALSE,11
33,procedural,33,3,36|5|22|15|3|19|40|1|8|9|10|13|31|37|21|24|17|23|27|39|4|11|14|20|12|7|41|29|33|32|35|38|34|0|26|2|30|18|28|6|25|16,29,FALSE,32|14|39|8|34|19|1|20|33|3|38|6|40|35|12|5|4|13|21|22|7|37|9|31|2|28|36|0|29|27|16|30|11|17|25,9,FALSE,5|22|3|19|40|1|8|13|21|39|4|14|20|12|33|32|35|38|34|6|36|15|9|10|31|37|24|17|23|27,15,FALSE,14
34,procedural,34,3,36|3|5|19|15|21|40|13|22|1|8|10|9|31|17|37|24|4|23|27|29|14|20|35|7|12|41|32|11|39|33|34|0|38|26|28|18|2|30|6|25|16,32,FALSE,34|35|39|36|14|37|33|40|6|32|19|30|20|3|12|31|29|38|2|0|8|5|13|11|27|21|1|9|41|4|17|28|25|7|16,1,TRUE,36|3|19|40|31|37|29|14|20|35|12|32|39|33|34|0|38|2|30|6|5|15|21|13|22|1|8|10|9|17|24|4|23|27,15,FALSE,17
35,procedural,35,3,3|19|5|15|36|10|31|40|9|8|22|21|13|1|24|17|37|4|35|23|20|32|7|29|39|27|14|12|38|0|41|34|26|28|18|30|2|6|33|11|25|16,19,FALSE,37|35|39|36|3|32|38|34|2|29|40|33|5|0|7|8|12|41|30|14|1|19|13|9|21|31|20|24|17|25|27|6|23|11|16|10|4|18,2,TRUE,3|5|36|40|8|37|35|32|7|29|39|14|12|38|0|41|34|30|2|33|19|15|10|31|9|22|21|13|1|24|17|4|23,7,FALSE,12
36,procedural,36,3,19|15|5|36|22|3|9|40|8|1|10|31|21|37|24|13|17|4|14|23|11|12|20|39|27|29|32|7|38|35|41|34|0|33|26|28|30|18|2|6|16|25,4,TRUE,35|36|37|39|3|34|32|20|38|14|2|40|30|19|7|29|11|0|4|24|33|12|27|21|6|41|8|5|13|1|9|17|31|25,2,TRUE,19|36|3|40|37|24|4|14|11|20|39|29|32|7|38|35|34|0|30|2|15|5|22|9|8|1|10|31|21|13|17|23,2,TRUE,2
37,definition,37,3,19|22|5|15|3|9|36|40|8|10|24|31|21|1|13|37|17|4|14|23|7|35|32|0|12|20|39|27|38|34|41|29|26|30|18|28|2|6|11|25|16|33,16,FALSE,39|0|37|29|3|7|32|35|8|40|1|14|6|12|2|41|13|38|5|30|34|20|9|21|10|31|4|25|36|27|19|16|23|33|24|18|17,3,TRUE,5|3|40|8|1|13|37|14|7|35|32|0|12|39|38|41|29|30|2|6|19|22|15|9|36|10|24|31|21|17|4|23,7,FALSE,9
38,definition,38,3,3|5|22|19|10|15|36|9|40|8|13|31|1|21|17|24|37|32|14|29|4|0|23|12|35|20|27|38|39|41|7|33|34|26|28|2|18|30|6|11|25|16,28,FALSE,38|37|14|9|3|0|7|8|29|6|12|13|36|4|2|41|10|1|21|5|32|34,1,TRUE,3|5|10|36|9|8|13|1|21|37|14|29|4|0|12|38|41|7|2|6|22|19|15|40|31|17|24|32,16,FALSE,12
39,procedural,39,3,15|19|36|3|22|5|10|9|8|31|1|40|21|37|13|17|24|4|39|14|27|11|35|20|32|0|29|33|23|41|7|12|34|38|26|18|2|30|28|6|25|16,19,FALSE,39|3|0|1|29|40|8|6|37|5|19|7|20|28|14|35|9|32|13|12|38|16|23|33|30|21|36|2|27|4|15|18|11|41|34|10|25|31,1,TRUE,19|3|5|9|8|1|40|37|13|39|14|35|20|32|0|29|7|12|28|6|15|36|22|10|31|21|17|24|4,10,FALSE,9
40,rhetorical / summary,40,3,22|19|5|3|36|9|15|10|40|1|21|24|8|31|37|13|17|4|23|14|7|29|0|11|32|20|12|39|27|34|41|35|38|26|30|28|18|2|6|25|16|33,9,FALSE,14|32|40|6|29|0|13|12|34|31|39|35|8|36|1|9|37|7|33|41|24|25|38|18|2|17|4|5|3|16|23,3,TRUE,36|9|40|1|8|31|37|13|14|7|29|0|32|12|39|34|41|35|6|33|22|19|5|3|15|10|21|24|17|4|23,3,TRUE,6
41,rhetorical / summary,41,3,22|5|3|36|15|19|10|9|31|40|1|37|8|13|21|17|24|39|4|7|35|27|12|14|32|11|0|20|29|38|34|23|41|33|26|18|30|28|2|6|25|16,33,FALSE,32|14|31|40|6|13|11|12|39|29|0|8|41|7|37|5|3|34|4|25|35|36|1|9|20|19|16|23|33|10|24|38|18|2|17,13,FALSE,5|3|31|40|37|8|13|39|4|7|12|14|32|11|0|29|34|41|6|25|22|36|15|19|10|9|1|21|17|24,18,FALSE,15
