question_id,question_intent,question_text,gold_chunk_id,gold_doc_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieval_score_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieval_score_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_de_hy_rank
11,mechanism,Why is masking applied in the decoder self-attention layer?,16,1,56|565|627|491|630|232|130|276|178|1|61|536|59|11|182|488|257|17|291|83|48|591|20|15|555|241|47|561|31|58|609|571|49|576|62|618|386|163|327|193|114|34,,FALSE,0.7047059960961685|0.698479245873927|0.6968747630111215|0.6961088432597385|0.6921772217194405|0.6915678161949393|0.6904003878847378|0.6875405300231339|0.6776239460332011|0.6771036597016945|0.6769338034860276|0.6759150749919897|0.6739185291642247|0.6735918508698346|0.6733178487343091|0.6710672789967727|0.6703062699067492|0.6689479097590152|0.668775809948329|0.6675078721756604|0.6666606590545588|0.6662169536899583|0.6653234844360677|0.6652622322615864|0.6652561466334653|0.6647922166779714|0.6644008237926254|0.6643881423050484|0.664285508888505|0.663822402713865|0.6637920704209093|0.662584126574124|0.6624324839045015|0.6623057759173698|0.6620835004704226|0.6615365629833623|0.6610512157606142|0.6603814293607968|0.6598810670910313|0.6597686080286095|0.6593562485817304|0.6593506020806289,16|174|15|173|214|24|386|34|200|114|245|10|105|14|213|29|86|32|205|90|206|162|109|394|201|150|22|168|104|180|184|26|244|171|1|27|12|161|275|120|103|92,1,TRUE,19.69035338836192|16.107614281007276|15.188579767208271|14.29974157525275|11.689833952922145|11.408917098917847|10.725423407994082|10.570758964152407|10.566700985487092|9.787564338180346|9.538073083697844|9.466363987450704|9.189725625036022|8.502287940743066|8.331139891842545|8.30112298327695|8.185416346585525|8.162536906524515|8.069747556200639|8.067295396605449|7.871834308564889|7.838059763806767|7.8283440072588935|7.819821978790949|7.7475761141683686|7.695918573804495|7.615118960997869|7.550475594284937|7.458593360615796|7.435614790805945|7.4346664872015795|7.300648973861151|7.227614996657325|7.098092739631049|6.982008142081687|6.955837101580117|6.863457909394963|6.843158914428933|6.827546692164406|6.465750245685717|6.308800612573064|6.232629887966768,15|386|114|34|16|174|173|214|24|200|245|10|105|14|213|29|86|32|205|90|56|565|627|491|630|232|130|276|178|1|61|536|59|11|182|488|257|17|291|83,5,FALSE,
12,mechanism,What operation is applied to scaled dot products before weighting the values?,18,1,630|56|61|536|276|130|17|54|1|232|62|565|291|49|581|31|83|627|182|84|123|518|48|572|591|571|15|561|109|178|263|386|527|609|570|80|545|552|491|229|509|495,,FALSE,0.7999127239564584|0.7963242080243715|0.784102950532293|0.7803768104536651|0.7801380239383693|0.7789060130126261|0.7748273271804074|0.7714601881376855|0.7669767216876756|0.766426182986384|0.7641158019589449|0.7625403433473236|0.7619904158658632|0.761762811032946|0.7592880217584491|0.7588642596642541|0.758684415992236|0.7586522041240011|0.7574297117128982|0.7572259326427367|0.7559186196666745|0.7552110453442692|0.755124905000842|0.754781473945929|0.7546736889517082|0.7536265004050069|0.753512304391818|0.7524918697997004|0.7517683393172081|0.7515997066070054|0.7504403419770773|0.7501623724440745|0.7498699568427072|0.7497534469229995|0.7492525580360141|0.7491019621906309|0.7488918939448029|0.748864724601489|0.7488226065092142|0.7484913737010345|0.7482651524231022|0.7477719398326922,17|18|245|19|177|176|391|231|302|182|105|21|270|390|175|16|392|201|244|114|228|274|331|271|24|192|155|83|348|156|510|152|394|386|539|384|497|253|229|111|206|118,2,TRUE,12.43108362904362|12.058899029900337|9.44305859708004|9.404139471698217|8.87282026718857|8.830134590553886|8.69123068949774|8.221571929649869|8.071141066581244|7.9462846885271885|7.83353408967494|7.770178538092957|7.7238824676513325|7.551078780909814|7.464415249761288|7.460196604882041|7.352858991710177|7.314179842703826|6.9643023405230915|6.937765049261193|6.7420515315386895|6.741172656390692|6.594121713457609|6.509338081687053|6.489864047132958|6.437497614288716|6.384493275625148|6.327425272374368|5.916036488876262|5.867021224145102|5.847197719267722|5.751285335699477|5.634928037245934|5.505757851618492|5.412079223810318|5.086861843025282|5.013942508313565|4.9352453050803335|4.298062821576345|3.9765056256459292|3.7035097366186807|3.6143577337698622,17|182|18|245|19|177|176|391|231|302|105|21|270|390|175|16|392|201|244|114|630|56|61|536|276|130|54|1|232|62|565|291|49|581|31|83|627|84,3,TRUE,
13,capability,What advantage does multi-head attention provide?,21,1,491|576|627|565|630|56|580|130|628|232|274|178|276|128|17|55|182|1|241|609|59|20|11|83|15|224|105|291|121|31|559|552|42|488|47|61|401|536|616|352|257|571,,FALSE,0.6491354451609301|0.6456984878427579|0.6450968375967137|0.6437564234972033|0.6366482633902425|0.6363902197100131|0.6278136090425079|0.6271099190621742|0.625943747913446|0.6252731267257541|0.6246268198208986|0.6242704004673838|0.624010250016249|0.6231660662377463|0.6229038870587238|0.6206581574015739|0.6201941073426869|0.6198683182942845|0.6184945425170876|0.6183984512843798|0.6181089289795164|0.6181031049947258|0.6179757794938929|0.6175341544569795|0.6169974241552795|0.6150175743140252|0.6147818777224675|0.6145958988252833|0.6145030789298731|0.6132876738211781|0.6132587947029792|0.6131041687414657|0.611882949382355|0.6116763646092245|0.6114947563235662|0.611049310553311|0.6104449700932472|0.6103417337532866|0.6102499442702013|0.6101573119536166|0.6101517661747534|0.6101071891946774,10|17|174|175|4|22|173|15|51|18|206|395|210|105|386|396|631|542|390|302|90|48|159|168|171|539|243|226|242|29|250|228|348|32|388|20|152|340|197|510|166|192,,FALSE,13.976823649561531|13.631155619716004|11.704360027010374|10.648916635202164|10.10832688799941|9.508566638589521|8.85871352309043|8.399822528664561|7.6515705387532424|7.542640437807933|7.219697161204829|6.982206824083178|6.608689139169908|6.507187688627714|6.325197838569531|6.125164242519346|5.566849536401218|5.407723054089909|5.112484209767137|5.052375617508856|5.043870893532215|4.940960621309564|4.803982635768838|4.7868961576709115|4.756603773505684|4.631613919347086|4.524241508221007|4.381090228864675|4.353540203134374|4.1999037597611055|3.9940346252558636|3.9090690791728355|3.775218019325497|3.735093144628335|3.6992186957517768|3.6869236628565902|3.6745610334619094|3.666971441007272|3.6502299127921938|3.6502299127921938|3.626218889821128|3.6025216890703224,17|15|105|10|174|175|4|22|173|51|18|206|395|210|386|396|631|542|390|302|491|576|627|565|630|56|580|130|628|232|274|178|276|128|55|182|1|241|609,,FALSE,
14,mechanism,How are illegal attention connections prevented in the decoder?,25,1,56|627|565|130|630|232|178|276|59|1|83|536|491|291|61|182|11|17|15|62|571|609|257|54|48|591|576|31|561|237|171|618|555|224|229|149|572|20|84|274|352|241,,FALSE,0.7362752036044932|0.7331318993764344|0.7322458121904233|0.7229747470136924|0.7229671580120478|0.7189772916804504|0.7165284433444682|0.7162738468677305|0.708865249212572|0.7066290317820211|0.7028982269283821|0.7011909622162772|0.7000679822716929|0.6999923107573058|0.6996100837927247|0.6995849776277298|0.697250441985394|0.6971181563394288|0.6952468880554243|0.6946760661102594|0.6945016571408067|0.6941881329222552|0.6941685620251883|0.6929269286022335|0.6927595740866819|0.6922853947925793|0.6919337464065348|0.6908500895805147|0.6908326163672368|0.690575147655754|0.6901523027409795|0.6898651939364016|0.6889484139668329|0.6888376179718434|0.6886107983910539|0.6885058930400225|0.6883892957486181|0.6879419044495074|0.6870468681928962|0.6867438448827728|0.6860853772493508|0.6850854181314499,200|15|386|184|16|206|24|174|182|90|108|380|1|87|162|183|111|581|261|299|168|382|180|161|181|311|175|173|314|389|394|205|120|216|186|86|204|107|179|310|236|164,,FALSE,12.445475362394681|9.561771182292125|9.176184378312472|8.878507494476116|8.572838615211232|7.890578443408095|7.885098322584673|7.717893518032664|7.263039742567327|7.142132984068632|7.1360340095486|7.098160541306455|6.982008142081687|6.963057435159193|6.919064151399343|6.492379666185045|6.377281159417542|6.2271009008352145|6.224756982301425|6.186940868376264|6.0952787169662015|5.995338314779184|5.987617934894929|5.976174368447268|5.971086645444444|5.968522488224607|5.93694794660061|5.821865292123189|5.805711526437466|5.688975194170871|5.633090768352088|5.5948499279957575|5.558844844189389|5.530769322624255|5.513910443079657|5.494803098796682|5.493873007075852|5.493652497473878|5.411664342117843|5.402331378095322|5.161898329678419|5.139573405530339,1|182|15|200|386|184|16|206|24|174|90|108|380|87|162|183|111|581|261|299|56|627|565|130|630|232|178|276|59|83|536|491|291|61|11|17|62,,FALSE,
15,mechanism,What is the functional form of the position-wise feed-forward network?,26,1,56|630|276|232|130|536|609|178|17|62|229|61|491|83|1|226|291|20|31|49|263|581|571|15|182|84|591|488|364|618|627|565|572|327|250|54|555|149|570|479|386|616,,FALSE,0.7691490443888115|0.7651007597100247|0.7495731507851157|0.7445275090030593|0.7433434053399766|0.7433148158571381|0.7410729971247472|0.7401699970198546|0.7384408406389422|0.7364073791354622|0.7361346494682236|0.7323423705627985|0.7285137148275358|0.7274624920262662|0.7270718826377682|0.7264592508406135|0.7260265145837179|0.7236333952183281|0.7232810009309777|0.7226983379135418|0.7222474627826979|0.7219552505425448|0.7218404954703219|0.7218041579197111|0.7216068507624978|0.7212866670554441|0.7210407590663297|0.7207615943796166|0.7196214925388863|0.7195838435418868|0.7193450691054196|0.7187008009958292|0.7181976867834509|0.71770847146297|0.7173226416577232|0.7167539743193985|0.7166115257773558|0.7157308364130825|0.7150257375771072|0.7146226872727858|0.7140815998018764|0.7127820450601811,174|213|214|204|205|244|206|192|13|302|66|105|292|286|148|104|14|243|282|245|193|207|348|331|101|147|539|386|228|279|547|186|152|140|178|1|203|202|253|542|25|574,,FALSE,24.206069239107862|15.621457458961412|15.463836494558599|14.326397992437826|13.597559305702202|11.193991198474915|10.912756764116647|10.90171857657954|8.955749118996595|8.39923023654867|8.18804908833217|8.039216553092768|8.023179204764206|7.979013448620987|7.9749726916140125|7.711519707403781|7.687178483442605|7.655020615318126|7.5441399613519105|7.48394275193956|7.407643033478813|7.345253274677626|7.231563832081145|7.225257902735921|7.208559269086013|6.8982575175468375|6.836533169353663|6.729060024055194|6.498654648985411|6.488796859078919|6.411254719125314|6.391428515711646|6.3786217574095705|6.358938986699394|6.237618397623464|6.091876850163862|5.838683380749875|5.743383341923122|5.740648286816446|5.511706251881196|5.451846098557693|5.318548858348348,174|213|214|204|205|244|206|192|13|302|66|105|292|286|148|104|14|243|282|245|56|630|276|232|130|536|609|178|17|62|229|61|491|83|1|226|291|20|31|49,,FALSE,
16,mechanism,What mathematical functions are used to construct positional encodings?,30,1,56|630|276|130|232|609|61|536|17|178|62|488|49|83|1|182|291|229|20|84|264|571|618|591|31|545|299|54|386|581|565|15|518|495|572|40|570|109|627|121|546|616,,FALSE,0.7807272948132832|0.7777081323580242|0.7658763661552584|0.7605830570556071|0.7579703190848361|0.7527582797240097|0.7525717019390147|0.7497795502244567|0.7457389010376596|0.745724991881306|0.7432932962348217|0.7417612723139183|0.7408676179679682|0.7405023154456652|0.7393107328959081|0.7374996595962929|0.7364042518539784|0.7362469512407104|0.7359972465373843|0.7348409961418834|0.7345588585308361|0.7345427628744154|0.7341042495766855|0.7328548442257385|0.7325190551378724|0.7319834464379119|0.7315524945674062|0.7313332636150953|0.7312794109105568|0.7312091132532778|0.7310099883997424|0.7306608206410362|0.7297463703247489|0.7292916395422512|0.7277874960535947|0.7277097356646305|0.7273571182320658|0.7268217276815558|0.7265711632768781|0.7256806578206975|0.7248116830939532|0.7242863634716005,212|199|244|207|211|186|192|253|198|204|301|302|220|200|88|394|157|280|393|127|203|384|111|79|386|210|340|105|128|73|208|228|510|69|153|249|299|332|359|392|229|243,,FALSE,17.187790098253807|14.723022701468688|11.628991401378114|9.767699307496386|9.297113639346678|9.1375712365057|8.505441892690339|8.436719477791776|8.315056247990718|7.896643100774691|7.746341960706817|7.700393613541659|7.48457579696154|7.198904536453414|7.09270365662517|7.004101340295709|6.801511323765726|6.544241085454417|6.466468737723616|5.977178904312259|5.798251005646742|5.5545077786174115|5.501625858252535|5.391932809844429|5.328532098740979|5.309638644989279|5.225927475674966|5.193026891865893|5.103772467072781|5.094088472877|5.026691407223241|4.958436095485301|4.934287240005947|4.925968283944733|4.904573042061426|4.874340520610609|4.848210571604453|4.846105739479436|4.843415465639573|4.789932188085231|4.761107325830549|4.7287452705565824,212|199|244|207|211|186|192|253|198|204|301|302|220|200|88|394|157|280|393|127|56|630|276|130|232|609|61|536|17|178|62|488|49|83|1|182|291|229|20|84,,FALSE,
17,definition,How do statistical language models compute the probability of text?,66,2,56|630|276|491|232|130|61|178|627|536|488|609|17|618|291|1|62|565|49|83|571|555|257|54|84|591|182|20|580|546|224|241|31|149|572|561|495|552|263|123|581|87,,FALSE,0.75790369068332|0.7535938176594885|0.738469323188322|0.734693375767288|0.7316941289857389|0.7288243949525911|0.7275618991620795|0.7266043799726818|0.7241449473335028|0.7228588359004076|0.7227672340411146|0.7189803208192486|0.718115502758699|0.717820396008836|0.7155435587129556|0.7151357755915263|0.7142460843720096|0.7134608666333847|0.7129586147699777|0.7115739281409413|0.7114933835014416|0.7114685046596971|0.7106263452195647|0.7104562042224121|0.7102895590758281|0.7086091533661887|0.7083962504339422|0.7079296798329111|0.7076695611203141|0.7072339095527517|0.7069532672711111|0.7066461153140439|0.7061758018268793|0.7054685238557215|0.7052513530502798|0.704424429810228|0.7032576529049752|0.70261582293411|0.7025453907836524|0.7023197278161588|0.7013592074826923|0.7011872904565478,70|235|67|87|65|233|155|66|86|310|261|407|496|68|186|256|399|400|72|91|200|421|144|156|180|183|617|363|71|228|318|626|140|508|257|203|339|92|93|498|76|540,8,FALSE,14.191405776119188|11.36103485104399|10.758976069732611|10.086020420920688|10.06884343175176|9.902035109895142|9.753467331185732|9.697839522888234|9.299830334687263|8.389372592627016|8.254186236093354|7.959378551510528|7.8034391497696|7.789721918269251|7.547951445349064|7.341789839239934|7.3410850002503585|7.301641222971826|7.141781957261172|7.1308270323763|7.11768945889014|7.099163412349727|7.013552339527929|6.972531772883962|6.948823274494901|6.927930148565875|6.808601908889657|6.7146584855817535|6.683400567660571|6.585058173685681|6.578482138383906|6.559768120922969|6.5453356923136425|6.5308027361207355|6.383953089574222|6.338751373946621|6.208912257890059|5.911158555265944|5.8281679382932206|5.772654657514392|5.770847761098237|5.7677116155576735,87|70|235|67|65|233|155|66|86|310|261|407|496|68|186|256|399|400|72|91|56|630|276|491|232|130|61|178|627|536|488|609|17|618|291|1|62|565|49|83,8,FALSE,
18,definition,What context length does an n-gram model condition on?,67,2,491|627|630|565|56|178|276|576|59|128|232|17|555|130|182|11|580|1|536|291|15|323|274|609|105|20|312|591|552|48|257|229|34|47|61|21|571|121|31|241|264|49,,FALSE,0.6843864127496225|0.6745733946038164|0.6700942214532709|0.6689508775607413|0.6634135358561601|0.6564826093779819|0.6496365859360146|0.6485424383053426|0.6474747930925063|0.6467844045484991|0.6465368582508091|0.645632275733483|0.6456124898877602|0.6455497652892951|0.6440738466118177|0.6431349920522335|0.6419848496684933|0.6417283946345284|0.6416572318484103|0.6413743675062291|0.6411993209786434|0.6408805198151126|0.6408195427788478|0.6392621446459448|0.6390389436054633|0.6388731691317708|0.6365237676430857|0.6354060984874028|0.6351608235761731|0.6350906056154603|0.6347756921779841|0.6347058968052257|0.6346668256824638|0.6344939685714847|0.6343254038962798|0.6340348750382201|0.6339345141242652|0.6339337142467392|0.6337883552051768|0.6335405059483783|0.6333861875829684|0.6330446516946344,385|302|67|384|105|510|226|348|356|168|34|542|35|383|175|301|32|79|70|253|509|69|83|201|149|160|447|198|279|539|305|124|229|270|115|419|78|364|12|242|29|349,3,TRUE,13.065528127243885|12.147584265084033|11.880815174692607|11.20316356395477|9.714724813527233|9.475124593435922|9.423923456313457|9.182394332252548|8.657678774700036|8.601098490582313|8.142491833224739|8.045601312862068|7.84606884189166|7.792972844054981|7.420925683217995|7.223339920168934|7.218020382462608|7.210932540906763|7.17643020082064|7.063079443207734|6.982301614673304|6.901103924551467|6.868151343321094|6.800756510743122|6.690075811085885|6.688440927785217|6.31863316642313|6.202292553506645|6.186366024526396|6.153994697619277|6.082196457724772|5.948843110529527|5.835104335140041|5.824894680643729|5.7673377732694115|5.624422698150911|5.615276821851536|5.588727807021362|5.519154914096884|5.454151557479736|5.39592207617815|5.340444311504881,105|34|385|302|67|384|510|226|348|356|168|542|35|383|175|301|32|79|70|253|491|627|630|565|56|178|276|576|59|128|232|17|555|130|182|11|580|1|536|291,5,FALSE,
19,mechanism,What technique is used to mitigate data sparsity in n-gram models?,68,2,56|630|276|130|61|565|491|609|17|232|83|536|178|1|627|618|114|364|291|580|571|54|182|257|229|561|161|555|591|62|20|84|31|49|224|572|250|509|105|488|59|263,,FALSE,0.7390508040556053|0.7346657758775686|0.7274435465850727|0.7229449973416299|0.7216849074334446|0.7162830310767375|0.7154476314602866|0.715099784430094|0.7142007060599717|0.712440963213707|0.712100688793005|0.7099525077838899|0.7095282519893433|0.7086813553898997|0.7085158994225961|0.7069101585779313|0.7064354103996258|0.7061260068116961|0.7059445249153392|0.7043495531087471|0.7041256979500984|0.7024741806882858|0.7022019142669526|0.7021827171392094|0.7021507615208854|0.7020748695103765|0.701688606757633|0.7003480705111714|0.7001018868228497|0.6996079445850749|0.6994302601313996|0.6991773581194837|0.698804190903807|0.6987844609660996|0.6985647761420032|0.6960383804153405|0.6953000902723044|0.6952103549167217|0.6944640441161226|0.694377543904513|0.6941060401579247|0.6939479598991843,69|70|68|228|67|192|198|337|298|237|302|510|276|152|356|190|280|253|209|279|207|277|105|266|269|348|189|393|72|244|338|194|184|79|383|386|210|119|73|83|384|331,3,TRUE,23.618125835031105|14.950733642871604|12.630590681724554|12.547370585124678|12.489711298575706|12.446798444871494|10.845410068920513|9.450806683100652|9.296878845580963|9.162394383318635|9.032838714843967|8.805551988663282|8.745753530819051|8.59956329440815|8.535499651837885|8.476662790235867|8.400004616785706|8.300061920198281|8.244482923741785|8.236417096392314|8.214297090517846|8.140286648991223|8.094013257595241|8.049258796681976|7.987929691510943|7.847611257655706|7.8081470302790645|7.788715812032173|7.7312992785125605|7.685439108899118|7.569256040813581|7.5672185661306255|7.483699711512404|7.4704870122745195|7.373832328878735|7.3345080411883155|7.290194785110087|7.281084462146938|7.16335870671276|7.111958773364369|6.921113082718681|6.886528010902614,276|69|70|68|228|67|192|198|337|298|237|302|510|152|356|190|280|253|209|279|56|630|130|61|565|491|609|17|232|83|536|178|1|627|618|114|364|291|580,4,TRUE,
20,comparative,How do neural language models address data sparsity differently from n-gram models?,70,2,630|130|56|536|232|276|54|61|565|17|62|518|1|15|572|49|163|109|386|581|561|178|93|31|552|627|224|123|241|591|529|189|24|545|495|582|527|586|84|89|291|629,,FALSE,0.8325242786706578|0.8218544669794946|0.8177734190973337|0.8134979338120569|0.8078893521327042|0.8041533112418019|0.8003926157054755|0.7984487799809948|0.793692648394992|0.7927701569886638|0.7920923679438963|0.7906983972993751|0.7906475142527929|0.788491234713604|0.7883261457163304|0.7868535711958986|0.7861787101419834|0.7859682656716466|0.7857895262541307|0.7843733730356315|0.7831788135737727|0.7821491670771615|0.7817711828002416|0.7817263342638522|0.7803917306254483|0.7793082415418946|0.7791829463571374|0.7790138875679046|0.7788132219648761|0.7781352052016358|0.7770282563978579|0.7765255395834966|0.7762583456849971|0.7758278748310958|0.7758083497229669|0.7754316566203437|0.7752749800763311|0.7749090619557116|0.7748382155435842|0.774660133176636|0.7744323477201285|0.7733874842656943,70|69|67|87|83|198|82|359|183|356|90|417|445|180|65|76|382|426|437|450|68|165|310|383|194|582|72|405|190|181|328|249|167|219|110|166|311|449|154|408|107|257,1,TRUE,22.821733633745815|21.664202203295517|14.194495527863557|13.903578459469854|12.290301327970258|11.302749047282473|11.112820966174489|10.860260768592251|10.78149372291432|10.253135243009355|10.015089664590489|9.830983741330535|9.829763189968173|9.6762450706521|9.670935252167077|9.500465973997123|8.973132764373302|8.706832711244305|8.554390576221879|8.47541109887092|8.376659340087249|8.280818216356414|8.189953266273301|8.012676707308216|8.007046550953984|7.859388293914006|7.808949942189438|7.795766827316262|7.729253721830664|7.705710672781362|7.662162244594498|7.472401441601473|7.395605311594137|7.372412780749106|7.363208636496775|7.221365574831998|7.164881791810583|7.088494779004139|7.054091362899955|7.030130917620649|7.00712305710816|6.792118401559611,70|69|67|87|83|198|82|359|183|356|90|417|445|180|65|76|382|426|437|450|630|130|56|536|232|276|54|61|565|17|62|518|1|15|572|49|163|109|386|581,1,TRUE,
21,principle,What property of embedding vectors enables semantic similarity computation?,71,2,56|630|276|130|178|536|232|61|17|83|62|1|627|571|609|491|84|31|565|518|54|291|49|572|15|397|109|581|591|555|182|570|203|263|192|20|224|89|546|592|48|123,,FALSE,0.8089090352816707|0.7996506396199441|0.7890547108581751|0.7830092419656495|0.7769371764085495|0.7760359997677423|0.7748221905646027|0.772596767116154|0.7716636443725217|0.7650714298674943|0.763627914726183|0.7631068487591475|0.7625742713571938|0.7606944138847013|0.760120762996694|0.7593463392739227|0.7583636083706283|0.758299278935501|0.7572172522748583|0.7566603811924193|0.7565306501637911|0.7563225483921333|0.7552417066242236|0.7550945885346064|0.7547771473362399|0.7546923045350075|0.7538175642316615|0.7530289841374156|0.7517568449394016|0.7515028147940447|0.7500661123006407|0.7494159669148571|0.749200622406053|0.7489716165175831|0.748855402445879|0.7486875679799511|0.7485877999442324|0.7482720537266472|0.747977206919755|0.7478980729609649|0.7459100010893983|0.7458988183225149,71|70|91|510|351|279|278|509|512|508|447|7|6|92|48|302|501|620|239|57|225|240|255|539|224|101|258|409|175|284|315|100|615|128|109|207|152|105|192|204|331|386,1,TRUE,16.973087009473034|14.428415261183279|13.718155976925662|13.312992414017298|11.28312284817694|9.30086939141676|9.22779748985724|9.003970497498027|8.619678021099158|7.631192149678109|6.95484028282806|6.612425195513246|6.547612169584413|6.012532588432911|6.0041815115129005|5.88425570770818|5.790850262021822|5.597954040095907|5.517580473754639|5.474490721581438|5.455867752520897|5.410675181644133|5.38546156890024|5.275602560427199|5.128348176496138|5.125263757925978|5.059266359177293|4.992517248740458|4.968386941088742|4.940366825367223|4.892402039414569|4.876159927295234|4.792426422611255|4.612571351417335|4.597069379940617|4.565574975455973|4.537665472975789|4.516649130477371|4.456015445208049|4.456015445208049|4.403249125348994|4.390329691519503,48|71|70|91|510|351|279|278|509|512|508|447|7|6|92|302|501|620|239|57|56|630|276|130|178|536|232|61|17|83|62|1|627|571|609|491|84|31|565|518,2,TRUE,
22,comparative,What distinguishes pre-trained language models from early neural language models?,73,2,630|56|61|536|130|232|17|276|581|1|565|49|54|15|229|62|123|291|572|31|627|84|109|241|570|386|87|518|89|338|24|495|591|545|527|83|364|616|561|105|552|629,,FALSE,0.8289102198090167|0.8125023521085534|0.8101328149159789|0.8097711278577029|0.8085774857995792|0.7947519830156375|0.793804472518447|0.7931904356244738|0.7905376860002636|0.7880489636071882|0.7877203330058624|0.7861528011256832|0.7860706286177174|0.7843563889621644|0.7815985641488392|0.781024859212933|0.7807006023876655|0.7799520754974413|0.77967696690207|0.7780743633113771|0.7775925474646043|0.7765388429888936|0.776286900779254|0.7761059381335046|0.7755849530457427|0.775478804632148|0.7753844682401874|0.7746769281347433|0.773406941904465|0.7730311087085101|0.7728039592116843|0.772392128442663|0.77188725530497|0.77174137218685|0.7716725931548125|0.7716086249703659|0.7714992774677272|0.7711708677540129|0.7710398723580187|0.7703411650658735|0.7699435968554001|0.7698730975074788,87|82|65|582|417|111|112|81|76|73|396|160|90|127|207|92|91|516|183|154|539|131|426|405|302|155|72|70|132|104|106|625|158|83|228|213|288|179|440|165|381|168,10,FALSE,19.522205916873695|18.568669431688537|16.07262076324507|15.332508764231818|14.868767305655977|14.847918479878404|14.703705836515951|14.54873838994006|14.304016387642093|13.133179067074618|12.594827179061108|11.555994488306464|11.263276808790925|11.239100848519254|11.051685903801465|10.889393543278638|10.334980893266575|10.302508208907039|10.293408009701928|10.125781512548022|10.11433305992739|9.950049835157536|9.84782878214935|9.792851833157524|9.545820534036503|9.447628446802788|9.446019517078813|9.415337991512908|9.316321572027423|9.287960548555025|9.052325029527626|8.933849070449467|8.699096294700432|8.666878349289357|8.589894390955287|8.586522823204138|8.37189072709103|8.267748667893285|8.21782867282327|8.16219330573355|8.048404411808441|7.997329895995102,87|82|65|582|417|111|112|81|76|73|396|160|90|127|207|92|91|516|183|154|630|56|61|536|130|232|17|276|581|1|565|49|54|15|229|62|123|291|572|31,10,FALSE,
23,process,What are the two stages of the pre-training and fine-tuning paradigm?,74,2,56|630|232|276|130|536|178|17|609|1|83|84|15|291|627|145|571|62|31|20|491|61|182|54|581|591|488|618|565|49|572|555|10|149|263|323|616|327|386|561|570|124,,FALSE,0.7667920303719222|0.7516934992129456|0.7452655942890802|0.7411356169467764|0.7374878858212857|0.7352052110287681|0.7345585506269523|0.73053713133733|0.7299443622881383|0.7240892629879038|0.7226022425082823|0.7221667274460007|0.7219998464294501|0.7205037550305543|0.7198756194334403|0.7181685954712923|0.7174432750754981|0.717343689736486|0.7173136227867384|0.7161204759441803|0.7159999726956986|0.7158565975574168|0.71532968245431|0.7147369126833856|0.7146160975678049|0.7146018321857813|0.7143757014649909|0.7137727651899838|0.7125674787680001|0.7119603576352452|0.7113082053201186|0.7107118390459501|0.7106692995345224|0.7099446954695401|0.7092125646174452|0.7090286150312877|0.7089525351400543|0.7087073917933907|0.7084856850670311|0.7070809336393905|0.7068114237958444|0.7067737131634794,74|209|210|211|132|187|193|215|356|152|88|102|539|106|384|302|288|207|253|87|247|92|364|240|363|255|168|167|246|111|103|68|137|155|331|101|109|192|223|252|237|160,1,TRUE,17.577655258586702|16.492680431504333|16.05016828587127|15.875260126100738|15.274360628461912|14.528091339699348|13.880015327516942|13.623473242167954|12.778158945051322|12.758955399230492|12.657445288428613|12.33356464814661|12.236442696734809|11.502504171451863|11.40717727012915|11.246262217119794|10.943142849853162|10.810094010571266|10.809500794407974|10.73595062615085|10.60926679792245|10.492474598746277|10.47089949841807|10.454783723991653|10.261336755940945|10.249695863057685|10.241720905434633|10.111874982176898|9.908903643216712|9.741299623073155|9.684072380835511|9.682738667523706|9.41661945856039|9.414674621874058|9.253151181032832|9.243516377023088|9.190807198765254|9.174306478007923|8.95808308424276|8.936326136317192|8.823263772862626|8.776528184340446,74|209|210|211|132|187|193|215|356|152|88|102|539|106|384|302|288|207|253|87|56|630|232|276|130|536|178|17|609|1|83|84|15|291|627|145|571|62|31|20,1,TRUE,
